,Date,Time,Latitude,Longitude,DateTime
7213,2013-08-15,8:18:38 PM,41.9447183333333,-87.8081866666667,2013-08-15 20:18:38+00:00
7214,2013-08-15,8:18:58 PM,41.944125,-87.8081766666667,2013-08-15 20:18:58+00:00
7215,2013-08-15,8:19:08 PM,41.943768333333296,-87.80816166666669,2013-08-15 20:19:08+00:00
7216,2013-08-15,8:19:18 PM,41.943405,-87.80815333333331,2013-08-15 20:19:18+00:00
7217,2013-08-15,8:19:28 PM,41.942983333333295,-87.808135,2013-08-15 20:19:28+00:00
7218,2013-08-15,8:19:38 PM,41.9425183333333,-87.808125,2013-08-15 20:19:38+00:00
7219,2013-08-15,8:19:58 PM,41.94174,-87.8081,2013-08-15 20:19:58+00:00
7220,2013-08-15,8:20:08 PM,41.9414066666667,-87.8080966666667,2013-08-15 20:20:08+00:00
7221,2013-08-15,8:20:18 PM,41.94102,-87.80808,2013-08-15 20:20:18+00:00
7222,2013-08-15,8:20:28 PM,41.9405816666667,-87.808075,2013-08-15 20:20:28+00:00
7223,2013-08-15,8:20:38 PM,41.94011,-87.8080566666667,2013-08-15 20:20:38+00:00
7224,2013-08-15,8:20:48 PM,41.9396383333333,-87.8080383333333,2013-08-15 20:20:48+00:00
7225,2013-08-15,8:20:58 PM,41.939225,-87.808015,2013-08-15 20:20:58+00:00
7226,2013-08-15,8:21:08 PM,41.938793333333294,-87.8080066666667,2013-08-15 20:21:08+00:00
7227,2013-08-15,8:21:18 PM,41.9385616666667,-87.8081283333333,2013-08-15 20:21:18+00:00
7228,2013-08-15,8:21:28 PM,41.9385616666667,-87.80863000000001,2013-08-15 20:21:28+00:00
7229,2013-08-15,8:21:38 PM,41.938556666666706,-87.8089366666667,2013-08-15 20:21:38+00:00
7230,2013-08-15,8:21:58 PM,41.938773333333295,-87.8091733333333,2013-08-15 20:21:58+00:00
7231,2013-08-15,8:22:08 PM,41.939176666666704,-87.80919,2013-08-15 20:22:08+00:00
7232,2013-08-15,8:22:18 PM,41.93947666666671,-87.8091933333333,2013-08-15 20:22:18+00:00
7233,2013-08-15,8:22:28 PM,41.9398816666667,-87.8092016666667,2013-08-15 20:22:28+00:00
7234,2013-08-15,8:22:48 PM,41.940788333333295,-87.8092616666667,2013-08-15 20:22:48+00:00
7235,2013-08-15,8:22:58 PM,41.9412316666667,-87.8092716666667,2013-08-15 20:22:58+00:00
7236,2013-08-15,8:23:08 PM,41.9416683333333,-87.80929499999999,2013-08-15 20:23:08+00:00
7237,2013-08-15,8:23:18 PM,41.942075,-87.8093083333333,2013-08-15 20:23:18+00:00
7238,2013-08-15,8:23:28 PM,41.9424866666667,-87.8093333333333,2013-08-15 20:23:28+00:00
7239,2013-08-15,8:23:38 PM,41.942823333333294,-87.809345,2013-08-15 20:23:38+00:00
7240,2013-08-15,8:23:48 PM,41.9431716666667,-87.8093566666667,2013-08-15 20:23:48+00:00
7241,2013-08-15,8:23:58 PM,41.9436,-87.8093616666667,2013-08-15 20:23:58+00:00
7242,2013-08-15,8:24:08 PM,41.9440633333333,-87.8093816666667,2013-08-15 20:24:08+00:00
7243,2013-08-15,8:24:18 PM,41.944503333333294,-87.80940333333331,2013-08-15 20:24:18+00:00
7244,2013-08-15,8:24:38 PM,41.944686666666705,-87.8099216666667,2013-08-15 20:24:38+00:00
7245,2013-08-15,8:24:48 PM,41.944683333333295,-87.81031166666669,2013-08-15 20:24:48+00:00
7246,2013-08-15,8:25:08 PM,41.9446733333333,-87.8109616666667,2013-08-15 20:25:08+00:00
7247,2013-08-15,8:25:48 PM,41.9445416666667,-87.8116983333333,2013-08-15 20:25:48+00:00
7248,2013-08-15,8:25:58 PM,41.94419,-87.811675,2013-08-15 20:25:58+00:00
7249,2013-08-15,8:26:08 PM,41.9438716666667,-87.8116716666667,2013-08-15 20:26:08+00:00
7250,2013-08-15,8:26:18 PM,41.9435333333333,-87.8116483333333,2013-08-15 20:26:18+00:00
7251,2013-08-15,8:26:28 PM,41.9431266666667,-87.8116083333333,2013-08-15 20:26:28+00:00
7252,2013-08-15,8:26:38 PM,41.9426183333333,-87.8115783333333,2013-08-15 20:26:38+00:00
7253,2013-08-15,8:26:48 PM,41.9421633333333,-87.81156,2013-08-15 20:26:48+00:00
7254,2013-08-15,8:26:58 PM,41.941731666666705,-87.8115383333333,2013-08-15 20:26:58+00:00
7255,2013-08-15,8:27:08 PM,41.941309999999994,-87.8115183333333,2013-08-15 20:27:08+00:00
7256,2013-08-15,8:27:18 PM,41.9408966666667,-87.81149,2013-08-15 20:27:18+00:00
7257,2013-08-15,8:27:38 PM,41.9401,-87.8114283333333,2013-08-15 20:27:38+00:00
7258,2013-08-15,8:27:48 PM,41.9396833333333,-87.81141833333331,2013-08-15 20:27:48+00:00
7259,2013-08-15,8:27:58 PM,41.939245,-87.8113966666667,2013-08-15 20:27:58+00:00
7260,2013-08-15,8:28:08 PM,41.938796666666704,-87.8113616666667,2013-08-15 20:28:08+00:00
7261,2013-08-15,8:28:18 PM,41.938495,-87.8114283333333,2013-08-15 20:28:18+00:00
7262,2013-08-15,8:28:28 PM,41.9384883333333,-87.8118816666667,2013-08-15 20:28:28+00:00
7263,2013-08-15,8:28:38 PM,41.93847833333329,-87.8123416666667,2013-08-15 20:28:38+00:00
7264,2013-08-15,8:28:58 PM,41.93875,-87.8128716666667,2013-08-15 20:28:58+00:00
7265,2013-08-15,8:29:18 PM,41.939556666666704,-87.812905,2013-08-15 20:29:18+00:00
7266,2013-08-15,8:29:28 PM,41.9399683333333,-87.8129266666667,2013-08-15 20:29:28+00:00
7267,2013-08-15,8:29:38 PM,41.940296666666704,-87.81294333333331,2013-08-15 20:29:38+00:00
7268,2013-08-15,8:29:48 PM,41.9407083333333,-87.81296999999999,2013-08-15 20:29:48+00:00
7269,2013-08-15,8:29:58 PM,41.9410283333333,-87.81298000000001,2013-08-15 20:29:58+00:00
7270,2013-08-15,8:30:08 PM,41.9413633333333,-87.8129933333333,2013-08-15 20:30:08+00:00
7271,2013-08-15,8:30:18 PM,41.9418083333333,-87.813005,2013-08-15 20:30:18+00:00
7272,2013-08-15,8:30:28 PM,41.942088333333295,-87.8130166666667,2013-08-15 20:30:28+00:00
