,Date,Species,Trap,Latitude,Longitude,NumMosquitos,WnvPresent
8114,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T002,41.95469,-87.800991,19,0
8115,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T048,41.867108,-87.654224,2,0
8116,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T054,41.921965,-87.632085,1,0
8117,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T094,41.720848,-87.666014,4,0
8118,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T159,41.732984,-87.649642,4,0
8119,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T028,41.986921,-87.689778,4,0
8120,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T031,41.801497999999995,-87.763416,1,0
8121,2013-06-07 00:00:00+00:00,CULEX TERRITANS,T033,41.906638,-87.701431,1,0
8122,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T089,41.723195000000004,-87.64997,2,0
8123,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T089,41.723195000000004,-87.64997,1,0
8124,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T135,41.662014,-87.72460799999999,1,0
8125,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T135,41.662014,-87.72460799999999,9,0
8126,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T145,41.878114000000004,-87.629798,1,0
8127,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T151,41.916265,-87.800515,7,0
8128,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T152,41.846075,-87.716277,1,0
8129,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T158,41.682587,-87.707973,6,0
8130,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T008,42.008314,-87.77792099999999,1,0
8131,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T012,41.991429,-87.747113,10,0
8132,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T012,41.991429,-87.747113,8,0
8133,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T047,41.868142,-87.696269,2,0
8134,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T013,41.923738,-87.785288,1,0
8135,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T018,42.010412,-87.66214000000001,1,0
8136,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T018,42.010412,-87.66214000000001,1,0
8137,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T030,41.899229999999996,-87.716788,10,0
8138,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T095,41.704336,-87.70373599999999,1,0
8139,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T061,41.801179,-87.679447,7,0
8140,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T062,41.800737,-87.71188000000001,2,0
8141,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T062,41.800737,-87.71188000000001,2,0
8142,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T066,41.77166,-87.703047,5,0
8143,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T069,41.768388,-87.678649,2,0
8144,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T073,41.773215,-87.60088,2,0
8145,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T073,41.773215,-87.60088,1,0
8146,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T074,41.822536,-87.66634300000001,1,0
8147,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T074,41.822536,-87.66634300000001,2,0
8148,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T080,41.754676,-87.612922,2,0
8149,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T082,41.803422999999995,-87.642984,3,0
8150,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T083,41.754292,-87.590773,1,0
8151,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T083,41.754292,-87.590773,1,0
8152,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T155,41.776156,-87.778927,1,0
8153,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T115,41.673408,-87.599862,1,0
8154,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T138,41.726465000000005,-87.585413,2,0
8155,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T209,41.740641,-87.546587,1,0
8156,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T209,41.740641,-87.546587,4,0
8157,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T212,41.680946,-87.535198,4,0
8158,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T128,41.704572,-87.56566600000001,5,0
8159,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T099,41.733643,-87.55551,1,0
8160,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T102,41.750498,-87.605294,4,0
8161,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T027,41.984809000000006,-87.728492,1,0
8162,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T009,41.992478000000006,-87.862995,5,0
8163,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T009,41.992478000000006,-87.862995,11,0
8164,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,4,0
8165,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,19,0
8166,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,17,0
8167,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T900,41.974689,-87.890615,3,0
8168,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,4,0
8169,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,3,0
8170,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,2,0
8171,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,16,0
8172,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,29,0
8173,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T900,41.974689,-87.890615,5,0
8174,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T903,41.957799,-87.930995,10,0
8175,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T903,41.957799,-87.930995,22,0
8176,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T223,41.973845000000004,-87.805059,2,0
8177,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T225,41.743402,-87.731435,1,0
8178,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T227,41.728495,-87.60096300000001,17,0
8179,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T227,41.728495,-87.60096300000001,4,0
8180,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T224,41.947227000000005,-87.67145699999999,3,0
8181,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T226,41.793818,-87.654234,8,0
8182,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T226,41.793818,-87.654234,4,0
8183,2013-06-07 00:00:00+00:00,CULEX PIPIENS/RESTUANS,T230,41.904194,-87.756155,2,0
8184,2013-06-07 00:00:00+00:00,CULEX RESTUANS,T230,41.904194,-87.756155,1,0
